Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product Bought Together (product.metafields.bls.bought_together),Countdown Timer (product.metafields.bls.countdown_timer),Custom product badge (product.metafields.bls.custom_product_badge),Information product tab (product.metafields.bls.information_product_tab),Short Description (product.metafields.bls.short_description),Add your name here (product.metafields.custom.add_your_name_here),Product grouped (product.metafields.custom.product_grouped),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Custom id identifier for product (product.metafields.kwik-cart.custom-id),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Low stock threshold (product.metafields.sam.lowstockthreshold),Hide product from search (product.metafields.seo.hidden),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Included / Intl Market,Price / Intl Market,Compare At Price / Intl Market,Status
genesis-burgundy-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/5F75EE0A-0801-4C04-A637-012FC79559CF.jpg?v=1779602216,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genesis-burgundy-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/5AA3096A-6419-456A-8FFC-E2A0E823ACCD.jpg?v=1779602217,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,BLUE HANDWOVEN HANDCRAFTED GAJJI SILK CHANDMUKHI DUPATTA,"<p>Blue Handwoven handcrafted Gajji  Silk Chandmukhi  dupatta</p>
<p>size: 2.5 mtrs x 44""</p>
<p>a slight difference in shade could be due to the camera &amp; lights. embrace the imperfection !! happy handloom</p>
<p>dry clean only</p>",Weavekala,,"",SILK DUPATTA,true,Title,Default Title,,,,,,,,,300.0,shopify,1,deny,manual,8999.00,,true,true,,,,,55524378,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/ED8B1DD7-686C-4C53-98B6-EE300158CEC3.jpg?v=1779534868,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
blue-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/DF6C433A-C001-4B38-BE96-346CA8274631.jpg?v=1779534868,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/DF911765-0240-4863-818B-243A823B9D6F.jpg?v=1779534867,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/0B786F43-CC32-4E5D-81B7-732051E83240.jpg?v=1779534867,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/FF31F5A4-B923-40F1-98AE-C6C6F3A94BB1.jpg?v=1779534867,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,RED  & PINK HANDWOVEN HANDCRAFTED GAJJI SILK CHANDMUKHI DUPATTA,"<p> Red &amp; Pink Handwoven handcrafted Gajji  Silk Chandmukhi  dupatta</p>
<p>size: 2.5 mtrs x 44""</p>
<p>a slight difference in shade could be due to the camera &amp; lights. embrace the imperfection !! happy handloom</p>
<p>dry clean only</p>",Weavekala,,"",SILK DUPATTA,true,Title,Default Title,,,,,,,,,300.0,shopify,1,deny,manual,8999.00,,true,true,,,,,47496218,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/1313CF70-0318-41E4-A393-0FC349231E56.jpg?v=1779534742,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
pink-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/9149BC59-38EC-46BE-B1A4-73782AB7C215.jpg?v=1779534744,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/79541571-2B13-44E6-9695-9F9073286CF5.jpg?v=1779534741,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
